CASRN,Canonical_QSARr
619-86-3,CCOC1C=CC(=CC=1)C(O)=O
383-63-1,CCOC(=O)C(F)(F)F
16712-64-4,OC1C=CC2C=C(C=CC=2C=1)C(O)=O
41687-30-3,[O-][N+](=O)C1C=C(C=CC=1)S(=O)(=O)CCO
52234-82-9,CCC(COC(=O)CCN1CC1)(COC(=O)CCN1CC1)COC(=O)CCN1CC1
175357-18-3,C=CCCCCCCCCC(=O)NC(CC1C=CC=CC=1)C(O)=O
4224-62-8,OC(=O)CCCCCCl
83-56-7,OC1C=CC=C2C=1C=CC=C2O
78-87-5,CC(Cl)CCl
83161-22-2,CC1OC(OCCCCC)C(O)C(O)C1O
85-44-9,O=C1OC(=O)C2C=CC=CC1=2
6358-36-7,CCN(CC)C1C=CC(=CC=1)C(=N)C1C=CC(=CC=1)N(CC)CC
10420-89-0,CC(N)C1=CC=CC2C=CC=CC=21
554-00-7,NC1=CC=C(Cl)C=C1Cl
76918-62-2,OC1=CC2=CC=CC=C2C=C1C(O)=NC1=CC2NC(O)=NC=2C=C1
6789-99-7,C1CCCC2NN=NC=21
93941-05-0,CC1C=CC=CC=1NC1=NC(Cl)=NC(NC2=CC(=CC3=CC(=C(N=NC4C=CC=CC=4S(O)(=O)=O)C(O)=C23)S(O)(=O)=O)S(O)(=O)=O)=N1
33996-33-7,CC(=O)N1CC(O)CC1C(O)=O
111-88-6,CCCCCCCCS
74-94-2,CNC
72214-18-7,CC1=C(C(C)=C(NC2N=C(Cl)N=C(NC3C=CC=CC=3S(O)(=O)=O)N=2)C(C)=C1NC1C=C(C(N)=C2C=1C(=O)C1C=CC=CC=1C2=O)S(O)(=O)=O)S(O)(=O)=O
623-72-3,CCOC(=O)CCO
4316-74-9,CNCCS(O)(=O)=O
7440-44-0,[C]
1639345-42-8,C[Si](C)(F)CCCC#N
120-82-1,ClC1=CC(Cl)=C(Cl)C=C1
107-74-4,CC(CCO)CCCC(C)(C)O
517-28-2,OC1C=C2C3C4C=CC(O)=C(O)C=4OCC3(O)CC2=CC=1O
174489-76-0,CC(C)(OC(=O)C1C=C(C=CC=1Cl)[N+]([O-])=O)C(=O)OCC=C
118-48-9,O=C1OC(=O)NC2C=CC=CC1=2
103-83-3,CN(C)CC1C=CC=CC=1
926-50-1,CC(CCCC(C)(C)O)=CCCC=O
1013-88-3,N=C(C1C=CC=CC=1)C1C=CC=CC=1
117428-95-2,COC(=O)C(=COC)C1C=CC=CC=1CCl
78-82-0,CC(C)C#N
70247-70-0,CC1=NN(C2C=C(Cl)C(=CC=2Cl)S(O)(=O)=O)C(=O)C1N=NC1C=C(C=CC=1S(O)(=O)=O)NC(=O)C(=C)Br
107-85-7,CC(C)CCN
